Freeze, Controller-1, Controller-2, Controller-3, Controller-4, Controller-5, Controller-6, Controller-7, Controller-8, Controller-9, Controller-10, Controller-11, Controller-12
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,180,0,0,0,180,0,0
0,0,0,0,0,0,60,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,180,0,0,0,0,240,0,120
0,0,0,0,0,0,0,0,0,0,180,0,60
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,180,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,240,240,0,0,0,240,0,0
0,0,0,0,0,60,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,240,60
0,0,0,0,0,0,0,0,0,0,180,180,60
0,0,0,0,0,180,0,0,0,0,0,240,0
0,0,0,0,0,60,120,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,180,0
0,0,0,0,0,0,0,0,0,0,0,120,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,120,0,0,0,0,0,0,0
0,0,0,0,0,240,0,0,0,0,120,0,0
0,0,0,0,0,120,0,0,0,0,180,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,180,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,120,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,120,0,0,0,0,240,0,180
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,180,0,0
0,0,0,0,0,180,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,60,0,0,0,0,240,0,0
0,0,0,0,0,0,180,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,180,0,0
0,0,0,0,0,120,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,120,0,0,0,0,180,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,60,0
0,0,0,0,0,0,0,0,0,0,240,240,0
0,0,0,0,0,0,0,0,0,0,180,180,0
0,0,0,0,0,0,0,0,0,0,240,240,0
0,0,0,0,0,240,0,0,0,0,240,240,0
0,0,0,0,0,0,0,0,0,0,240,240,120
0,0,0,0,0,0,0,0,0,0,240,240,180
0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,180,0
0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,240,0
0,0,0,0,0,180,0,0,0,0,0,240,0
0,0,0,0,0,0,0,0,0,0,0,60,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,180,0,0
0,0,0,0,0,0,60,0,0,0,240,0,0
0,0,0,0,0,0,120,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,180,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,0,0,0,0,0,240,0,0
0,0,0,0,0,120,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,180,0,0
0,0,0,0,0,180,0,0,0,0,240,0,0
0,0,0,0,0,240,0,0,0,0,240,0,0
